State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10
1	0.7494720183937731	0.010197542878886677	6.446026531557912E-4	0.0448224211160204	0.0010750103487039602	1.6803790124586793E-6	0.13841400111485783	0.002823528546448675	0.049181980934860876	0.00336721363428011
2	0.02123852910405645	0.7255277495288837	0.16227624583682332	0.009663905787280404	4.628014695710307E-4	4.0881876635248134E-4	0.0	0.0	0.0011332045696599768	0.0792887449373727
3	3.4250725087069393E-4	0.05196352486162809	0.9112824665865571	0.03348659777011972	3.4305883407167136E-4	4.546335675041569E-7	0.0012178183065244155	2.057718519738756E-5	1.395842696169208E-5	0.0013290361445015754
4	0.00880069804949209	8.975380269430489E-4	0.009756115257480422	0.9757916689916578	0.0016785843808623856	0.0030399050172035392	0.0	0.0	0.0	3.549027636059862E-5
5	0.003955180520082641	5.373310493600121E-4	0.0016620389303844785	0.02667510281308429	0.8444454452660449	0.015191977475095453	0.0985224527819043	0.0029546989504252944	0.004223345154808472	0.0018324270588101668
6	0.0	4.338117578932017E-6	1.0069309669822371E-6	3.5383519656484463E-4	1.013486571824344E-4	0.9980040539637571	0.001348508502264107	1.3266494366434982E-4	5.424368802121348E-5	0.0
7	0.008424931252576075	0.0	1.1331049597884355E-4	0.0	0.0018570607075678353	0.0035976823622326853	0.9672936317759505	0.01815688547073468	5.207065709467828E-4	3.57913640125017E-5
8	0.0018943378665183062	0.0	0.0	0.0	5.904882708463694E-4	0.00453043132281366	0.24451726772691446	0.6852254913520222	0.0630552990405996	1.8668442028546241E-4
9	0.08463610958552524	0.0012902699398155244	5.295504182182947E-5	7.453444728804416E-6	0.002490083142267561	0.003886629406354472	0.014081721959720742	0.12804307113574506	0.7212145140439106	0.044297192300110214
10	0.005623711043241796	0.08536102723213239	0.004548337068543461	4.1615921218829204E-4	0.0011221952801001066	8.385165462623283E-5	0.0012020077982870829	0.0010609956778772664	0.05660185777529772	0.8439798572577055
